Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
Sanjay Sanju,Awesome,"Pretty amazing my dream come true iPhone 7 where is my dream phone I purchase on Flipkart Rs.25,000 thank you Flipkart",5,"Nov, 2019"
Kumardeep Pradhan,Best in the market!,Everything is okay..,5,"Oct, 2019"
Akshay Gupta,Faulty phone,Not even a month has passed since i started using it and its display has gone dead.. Could not expect that flipkart is offering such low quality phones..,1,"Jun, 2017"
Bhavesh Kothari,Flipkart Rocks!!!!!!!!!!!!!!!,"Buying the most awaited phone of the year and that too from flipkart was amazing.
Really thankful to flipkart for understanding the customer's egarness.
Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.
This kind of commitment from flipkart towards its customers is highly appreciable.
Flipkart is another word for Geniune products.

Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previous phones.
build quality is very premium with black colour adding further to it.
sound quality is also very good. Battery backup is very satisfactory.
Highly reccomended.
KEEP IT UP FLIPKART.",5,"Oct, 2016"
Farid Uddin Siddiquee,Awesome,Good,5,"Jan, 2020"
Sanjeet Desai,Perfect iPhone,"Perfect and decent phone for iPhone lovers.
Battery life good for regular user- calls and social networking not for gaming, it last for 12-15 hours for regular use.
iOS 13 gives features of almost latest iPhones.
Overall good to use in 2019-20.
On time delivery and good seller.",5,"Dec, 2019"
Singh Chauhan,Did not meet expectations,"Very bad experience with filpkart , not responding on mails, within 3 months my iphone 7 touchpad is not working properly and heating issue i m facing, i would suggest don't buy this product from flipkart.",1,"May, 2017"
Tania Biswas,Excellent,My first buy from the Apple gadgets. its feels niace in hand. Overall nice experience with apple.,5,"Oct, 2018"
Dinesh Kaim,Worthless,it was used phone.,1,"Jun, 2018"
adarsh gt,Awesome,"A WOW EFFECT.....A first time iphone üser feel d change bet android and ios.....
Ts xceptionally brilliant....and flipkart gave a good deal and delivery much b4 d xpected date....juz d thing lingering around is how to get d beast insured.....",5,"May, 2017"
Sunilkumar Patil,Classy product,Nice Phone,5,"Nov, 2019"
Shubham Sardana,Terrific,Best phone ever i purchased in year end sale the best camera clarity,5,"Dec, 2019"
Dr.suchet hooda,Terrific purchase,Ok,5,"Apr, 2017"
Anirudh Suresh,Faulty Product Delivered,Ringer button was not working in the product. Unhappy,2,"Mar, 2017"
Monika sharma,Simply awesome,Nice product,5,"Aug, 2020"
Arnab Maity,Excellent,Good product,5,"May, 2020"
robin Mishra,Wonderful,Superb.. Black is awesome.,5,"Jan, 2020"
anex p t,Unsatisfactory,poor delivery... plus members have to wait for longer time than normal customers.. then what is the advantage of being a plus member???? another order has been placed 3 days before and the expected delivery date is shown after 15days.. pity...,1,"Oct, 2019"
Shanu Bajaj,Wonderful,excellent,5,"Dec, 2018"
Shihas Um,Worthless,product good.. but received unboxed item.... damaged item.. no return policy.....,1,"Sep, 2019"
Prashant Patil,Excellent,"I bought it for Rs 31094, best price on big billion day. Thank you Flipkart. Phone assembled in China think before you buy.",5,"Oct, 2018"
Hemanth Karri,Terrific,My first phone is awesome love :red_heart::face_blowing_a_kiss:it cemara is osmm,5,"Feb, 2020"
Lalhmingliana Fanai,Very poor,"The product is delivereed earlier than the expected date. The product is good and genuine. Verified in Apple Website.
But the warranty is not showing active in the website. I am still awaiting reply from Flipkart. The IMEI also shows the warranry expired. The advertisement shows the brand warranty (Apple) of 1 year.
I am now adding the comment after:
1. Flipkart guy who pick up do not know how to check IMEI
2. He took the original invoice promising to return the next day
3. He did not turn up the next day and got the return cancelled
4. A follow up request by me to pick it up
5. The pick up was again cancelled by the return guy before reaching my house
6. The product is already used and warranty expired, as confirmed from Apple Customercare
7. Flipkart have no idea why the pick up was cancelled the second time.
The product is still lying with me. Might be the Flipkart want to forced its way to put the product without refund, which is a clear case of fraud. Flipkart promise to pick up before 4th December 2018, which according to me is very doubtful. I am hoping for the best till at least up to the appointed time. The dealer is RHYTHMBULLEH, the invoice shows as RHYTHM.",1,"Nov, 2018"
Hitesh Patel,Nice,Must have fone. Saved 10000 cashback with citibank card and flipkart deliverd this beatuty on next day.,5,"Oct, 2016"
Aftab Mulla,Apple countinues to outperform with its new masterpiece,"I'm using iPhone from 3GS generation. I have upgraded my iPhones every year since then. People might say its costly, but to be honest it justifies each & every single penny spent on it. It's a craftsmen masterpiece. Though it does not gives alot of features which other flagship phones do in this segment in the market, but honestly think do we really use those features in real time usage. iPhone makes your regular task so easy & simple which is their primary focus (Make user experience as simple & useful as possible). Its so fluid & fast compared to any flagship phones available in the market. Their software & hardware works seamlessly that it make the users experience alot easier & faster. Its single core scores outperforms the latest flagship of Google, samsung & one plus.

If you thinking for an upgrade from 5s/6 or 6S then its worth doing mainly for the below reasons -

1) Camera lovers would love the new 12 mp camera with ƒ/1.8 aperture on the iPhone which supports low light photography & optical image stabilization (included now in iPhone 7 too). The front facing camera is now 7 mp HD camera . It has a Quad-LED true tone flash.The pictures are so realistic & clear. The best in the market right now.
2) iPhone is now finally IP67 certified - dust and water resistant
3) Memory - Now available in 32/128/256 GB for the same price as previously for 6s 16/64/128GB respectively.
4) New A10 fusion chip is extremely fast & the graphics output is incredible like a game console.
5) Battery has been increased from 1715 mAh to 1960 mAh giving you about 2 hrs more battery life than 6s. My phone last 1 entire day with heavy usage.
6) iPhone 7 now has Quad-core processor with 2GB of RAM & iPhone 7plus with 3GB of RAM.
7) Stereo speakers are really amazing with good sound quality output.

The introduction of new colours to the iPhone rage has given one more reason to buy. My personal favourite is the matte black one (though the Jet black looks more appealing than the matte black one) , but the matte black is less prone to scratches & figure prints than the Jet Black.

I pre-ordered my iPhone 7 first time on any online site but & I must say Flipkart made it a real amazing one. The delivered me my Phone the very next day of its release in India when people where standing in line outside the store to get one.
They made it special by giving the customer a cadbury & shooting the customers expressions while unboxing their iPhones.
Thank You flipkart for this gesture. You made me feel a special customer. Looking forward to buy more electronic genuine products from you.",5,"Oct, 2016"
Rishav Kumar,Worth every penny,"My 1st iphone
Love it:red_heart:
Black beauty:black_heart:",5,"Jul, 2020"
Kiran Kumar Beera,Worst experience ever!,This is a imported mobile with foreign sim available in sim slot. Expcted new product but I can see here Filp cart standard by deliverying mobile with foreign mobile network plan.Vendor Importred the mobile to India and selling here as festive sale offers. So cheap tricks by flipcart vendors.,1,"Oct, 2019"
MAYANK TULSHYAN,battery,"the battery life of the cellphone delivered is very poor.
charged at 84% in night and in mornin the phone was switched off without any use.
dont know whats the problem",1,"May, 2017"
Peter Antony,Worst experience ever!,In one month the colour near the camera got peeled off.somebody Please suggest what to do now...,1,"Feb, 2017"
Vinod Kumar Bhodiwal,Delightful,Nice,4,"Jan, 2017"
Kavya Jain,Mind-blowing purchase,Good like it and price is also good :smiling_face_with_hearts::face_savoring_food:,5,"Nov, 2019"
Subhra Bhattacharya,Wonderful,It's great iphone is iphone I love it camera is awesome best looking and handy display good overall good product thanks to flipkart.,5,11 months ago
Bishal Roy,Nice product,"Everything is good. Awesome Camera quality, Slim body, easy to handle with 1 hand. But Heating problem",4,"Jul, 2020"
singh sandeep,Waste of money!,Very bad product battery was so fast draining when you watch video or movie minimum 2 housr battery drained to 67 to 19 percentage,1,"Mar, 2020"
Esha Rajani,Good quality product,Nice,4,"May, 2017"
Abhishek Shrivastwa,Must buy!,it was awesome and fabulous no words to say about i phone i loved my i phone a lot and thankyou filpkart to make a discount on all popular products.,5,"Dec, 2019"
Sunil Pandey,Absolute rubbish!,"with in 3 day used this is dead suddenly not show charging and unable to power on

before dead given excellent performance iphone 7 and battery life is less...
Good looking
excellent delivery before promised date....
i got this is in 34999/- valve for money
but getting heated of phone
now iphone is dead on 4th nov morning with in 3day of delivery
I'm not happy to this .........
please help my Flipkart",1,"Nov, 2018"
Satej Rao,A Worthy Upgrade from IPhone 6 Plus,"Shift to IPhone 7 from IPhone 6 Plus
3 features that standout are:
1. Loud and Clear Speakers
2. Camera quality is top notch, a tough competition to Galaxy S7
3. Waterproofing

Worthy upgrade from IPhone 6 Plus",5,"Oct, 2016"
Piety Fernandes,Nice,"Guys increase budget for SE, phone heats up... battery backup is bad..",3,"Sep, 2020"
Ramakrishna Katukuri,Fabulous!,Nice product,5,"Sep, 2020"
Flipkart Customer,Very Good,"Awesome mobile easy to handle gud 3D touch,no issue with cameras little bit issue with battery backup",4,"May, 2020"
Rahul Sharma,Super!,"My first ever iphone.At first was quite hesitant while switching over from android (samsung s7 edge) to iphone 7. Well, I must say it was a good decision. At first it will take some time to get the hang of it and getting used to. But later on you will simply get flattened by the awesomeness of an iPhone. Now, I get to understand as to why the iphone have such a loyal fan base, because they have added another one to its fleet. Worth giving a try.",5,"Dec, 2019"
LOvepreet Singh,Terrific purchase,"Excellent very impressive
Camera equality was very impressive",5,"Nov, 2019"
saleem,Really Nice,"Still I need to use it for some more time....
Very good...,",4,"Nov, 2018"
Xaddy Dar,Terrific purchase,Great,5,"Nov, 2018"
Mayank Joshi,When Flipkart's elves knock my door with IPhone 7!,"Hi! I pre ordered the iPhone 7 rose gold in 32gb variant and boy was I happy! Not only was my phone delivered to me within one hour of the launch, but the kindhearted Flipkart guys even gave me a Cadbury Dairy Milk Roasted Almond along with my prized possession. Sadly I wasn't present at home for the delivery but my father excitedly told me how the Ekart delivery person along with his manager came to our home to deliver, and also clicked a selfie with my dad!!
My phone was delivered in a spe...
READ MORE",5,"Oct, 2016"
DIVYANK SINGH,Perfect product!,Perfect ontime delivery during launch. Looking forward to an fantastic customer experience. iPhone 7 blazes so smoothly,5,"Oct, 2016"
Amit Yadav,Utterly Disappointed,"What a bad product. I received my phone and after 5 minutes touch screen is not working. Return policy is also not there.
I am very disappointed.",1,"Oct, 2019"
Yashwant,Its mid range phone in flagship category,"iPhone 7 is a very good phone.

Pros:
Slim and sleek design
Very light in weight
Great spec
Great camera
No heating issue
Very handy phone
User friendly interface

Cons:
It slippery while holding in hand
No headphone jack
So while charging u cannot listen to music
Sound is not that great",5,"Oct, 2017"
